,gt_value,date,region,date_obtained,term_topic
278,25.0,2014-11-01,CH-AG,2021-03-27.xlsx,meth
279,26.0,2014-12-01,CH-AG,2021-03-27.xlsx,meth
280,34.0,2015-01-01,CH-AG,2021-03-27.xlsx,meth
281,0.0,2015-02-01,CH-AG,2021-03-27.xlsx,meth
282,0.0,2015-03-01,CH-AG,2021-03-27.xlsx,meth
283,12.0,2015-04-01,CH-AG,2021-03-27.xlsx,meth
284,0.0,2015-05-01,CH-AG,2021-03-27.xlsx,meth
285,0.0,2015-06-01,CH-AG,2021-03-27.xlsx,meth
286,0.0,2015-07-01,CH-AG,2021-03-27.xlsx,meth
287,0.0,2015-08-01,CH-AG,2021-03-27.xlsx,meth
288,14.0,2015-09-01,CH-AG,2021-03-27.xlsx,meth
289,0.0,2015-10-01,CH-AG,2021-03-27.xlsx,meth
290,13.0,2015-11-01,CH-AG,2021-03-27.xlsx,meth
291,0.0,2015-12-01,CH-AG,2021-03-27.xlsx,meth
292,0.0,2016-01-01,CH-AG,2021-03-27.xlsx,meth
293,0.0,2016-02-01,CH-AG,2021-03-27.xlsx,meth
294,0.0,2004-01-01,CH-AG,2021-03-31.xlsx,meth
295,0.0,2004-02-01,CH-AG,2021-03-31.xlsx,meth
296,0.0,2004-03-01,CH-AG,2021-03-31.xlsx,meth
297,0.0,2004-04-01,CH-AG,2021-03-31.xlsx,meth
298,0.0,2004-05-01,CH-AG,2021-03-31.xlsx,meth
299,0.0,2004-06-01,CH-AG,2021-03-31.xlsx,meth
300,0.0,2004-07-01,CH-AG,2021-03-31.xlsx,meth
301,0.0,2004-08-01,CH-AG,2021-03-31.xlsx,meth
302,0.0,2004-09-01,CH-AG,2021-03-31.xlsx,meth
303,0.0,2004-10-01,CH-AG,2021-03-31.xlsx,meth
304,0.0,2004-11-01,CH-AG,2021-03-31.xlsx,meth
305,0.0,2004-12-01,CH-AG,2021-03-31.xlsx,meth
306,0.0,2005-01-01,CH-AG,2021-03-31.xlsx,meth
307,0.0,2005-02-01,CH-AG,2021-03-31.xlsx,meth
308,0.0,2005-03-01,CH-AG,2021-03-31.xlsx,meth
309,0.0,2005-04-01,CH-AG,2021-03-31.xlsx,meth
310,0.0,2005-05-01,CH-AG,2021-03-31.xlsx,meth
311,0.0,2005-06-01,CH-AG,2021-03-31.xlsx,meth
312,0.0,2005-07-01,CH-AG,2021-03-31.xlsx,meth
313,0.0,2005-08-01,CH-AG,2021-03-31.xlsx,meth
314,0.0,2005-09-01,CH-AG,2021-03-31.xlsx,meth
315,0.0,2005-10-01,CH-AG,2021-03-31.xlsx,meth
316,0.0,2005-11-01,CH-AG,2021-03-31.xlsx,meth
317,0.0,2005-12-01,CH-AG,2021-03-31.xlsx,meth
318,0.0,2006-01-01,CH-AG,2021-03-31.xlsx,meth
319,0.0,2006-02-01,CH-AG,2021-03-31.xlsx,meth
320,0.0,2006-03-01,CH-AG,2021-03-31.xlsx,meth
321,0.0,2006-04-01,CH-AG,2021-03-31.xlsx,meth
322,0.0,2006-05-01,CH-AG,2021-03-31.xlsx,meth
323,0.0,2006-06-01,CH-AG,2021-03-31.xlsx,meth
324,0.0,2006-07-01,CH-AG,2021-03-31.xlsx,meth
325,0.0,2006-08-01,CH-AG,2021-03-31.xlsx,meth
326,0.0,2006-09-01,CH-AG,2021-03-31.xlsx,meth
327,0.0,2006-10-01,CH-AG,2021-03-31.xlsx,meth
328,0.0,2006-11-01,CH-AG,2021-03-31.xlsx,meth
329,0.0,2006-12-01,CH-AG,2021-03-31.xlsx,meth
330,0.0,2007-01-01,CH-AG,2021-03-31.xlsx,meth
331,0.0,2007-02-01,CH-AG,2021-03-31.xlsx,meth
332,0.0,2007-03-01,CH-AG,2021-03-31.xlsx,meth
333,0.0,2007-04-01,CH-AG,2021-03-31.xlsx,meth
334,0.0,2007-05-01,CH-AG,2021-03-31.xlsx,meth
335,0.0,2007-06-01,CH-AG,2021-03-31.xlsx,meth
336,0.0,2007-07-01,CH-AG,2021-03-31.xlsx,meth
337,0.0,2007-08-01,CH-AG,2021-03-31.xlsx,meth
338,0.0,2007-09-01,CH-AG,2021-03-31.xlsx,meth
339,0.0,2007-10-01,CH-AG,2021-03-31.xlsx,meth
340,0.0,2007-11-01,CH-AG,2021-03-31.xlsx,meth
341,0.0,2007-12-01,CH-AG,2021-03-31.xlsx,meth
342,0.0,2008-01-01,CH-AG,2021-03-31.xlsx,meth
343,0.0,2008-02-01,CH-AG,2021-03-31.xlsx,meth
344,0.0,2008-03-01,CH-AG,2021-03-31.xlsx,meth
345,0.0,2008-04-01,CH-AG,2021-03-31.xlsx,meth
346,0.0,2008-05-01,CH-AG,2021-03-31.xlsx,meth
347,0.0,2008-06-01,CH-AG,2021-03-31.xlsx,meth
348,0.0,2008-07-01,CH-AG,2021-03-31.xlsx,meth
349,0.0,2008-08-01,CH-AG,2021-03-31.xlsx,meth
350,0.0,2008-09-01,CH-AG,2021-03-31.xlsx,meth
351,0.0,2008-10-01,CH-AG,2021-03-31.xlsx,meth
352,0.0,2008-11-01,CH-AG,2021-03-31.xlsx,meth
353,0.0,2008-12-01,CH-AG,2021-03-31.xlsx,meth
354,0.0,2009-01-01,CH-AG,2021-03-31.xlsx,meth
355,0.0,2009-02-01,CH-AG,2021-03-31.xlsx,meth
356,0.0,2009-03-01,CH-AG,2021-03-31.xlsx,meth
357,0.0,2009-04-01,CH-AG,2021-03-31.xlsx,meth
358,0.0,2009-05-01,CH-AG,2021-03-31.xlsx,meth
359,0.0,2009-06-01,CH-AG,2021-03-31.xlsx,meth
360,0.0,2009-07-01,CH-AG,2021-03-31.xlsx,meth
361,0.0,2009-08-01,CH-AG,2021-03-31.xlsx,meth
362,0.0,2009-09-01,CH-AG,2021-03-31.xlsx,meth
363,0.0,2009-10-01,CH-AG,2021-03-31.xlsx,meth
